Feature,Mean |SHAP|
EducationField_Medical,0.010754011695981025
Department_Research & Development,0.007743260400891306
RelationshipSatisfaction,0.007727652609944341
EnvironmentSatisfaction,0.007378595504760738
OverTime,0.0066938790941238405
JobSatisfaction,0.006673299919664858
EducationField_Life Sciences,0.006547719319760806
Department_Sales,0.005712017321884626
JobRole_Laboratory Technician,0.005703290124535559
JobRole_Research Scientist,0.005381549279391762
Gender,0.005162902693450452
MonthlyRate,0.004672143319845201
DailyRate,0.004622208168506618
JobRole_Sales Executive,0.004310236122012136
JobRole_Manufacturing Director,0.0040895420637726805
TrainingTimesLastYear,0.004079060727059841
PerformanceRating,0.004073488587737083
HourlyRate,0.004068060704767707
EducationField_Technical Degree,0.003984637882113457
WorkLifeBalance,0.003925565243661402
EducationField_Marketing,0.003731103051304815
NumCompaniesWorked,0.0035398174998164176
Education,0.0034319199648499476
MaritalStatus_Married,0.003217756045758724
JobInvolvement,0.0031725045710802088
BusinessTravel,0.0031001158389449114
DistanceFromHome,0.0027677641022205352
StockOptionLevel,0.002386647638380527
JobRole_Manager,0.0022862910115718825
PercentSalaryHike,0.002283875539004804
JobLevel,0.002228545056879521
MaritalStatus_Single,0.0021602511468529696
YearsInCurrentRole,0.0020204056492447854
MonthlyIncome,0.001992239834070204
Age,0.001896869963407515
EducationField_Other,0.0018878612279891976
JobRole_Research Director,0.001758005137443541
JobRole_Human Resources,0.0017238504356145864
YearsWithCurrManager,0.0016824910995364183
YearsSinceLastPromotion,0.0014970281469821947
TotalWorkingYears,0.0010348613590002074
YearsAtCompany,0.0008634451520442976
JobRole_Sales Representative,0.0005456183525919901
