dataset,model_type,model,augmentation,accuracy,precision,recall,f1,auc,source
IBM,DL,BiTCN,gan,0.8258503401360544,0.4814361431226263,0.4632978723404255,0.46239415204678364,0.7497274988847312,BiTCN-GAN
IBM,CML,LogisticRegression,gan,0.8544217687074831,0.562090335811815,0.438741134751773,0.49016496937356735,0.7928343328732194,CML
IBM,CML,LogisticRegression,raw,0.883673469387755,0.7734432234432235,0.39663120567375887,0.5234460424907456,0.8326336641672043,CML
IBM,CML,LogisticRegression,smote,0.7687074829931972,0.38570546916107534,0.7216312056737589,0.5023292007126564,0.8258924746733038,CML
IBM,CML,RandomForest,gan,0.8571428571428571,0.8227272727272726,0.15593971631205675,0.25964802092433514,0.8035768107621856,CML
IBM,CML,RandomForest,raw,0.8537414965986395,0.7460805860805861,0.15593971631205675,0.2538176337550716,0.8111860787910791,CML
IBM,CML,RandomForest,smote,0.865986394557823,0.7163333333333333,0.30363475177304966,0.4227727263735483,0.8186514773020932,CML
IBM,CML,XGBoost,gan,0.8639455782312926,0.6852268818213091,0.3081560283687943,0.4228356502652277,0.819191251892922,CML
IBM,CML,XGBoost,raw,0.8653061224489796,0.6999508267256747,0.29973404255319147,0.416161465346248,0.8180734663858826,CML
IBM,CML,XGBoost,smote,0.8646258503401361,0.6409482444321154,0.37553191489361704,0.4698181061951514,0.8167565884893063,CML
